Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
36.0,4.0,,5,5,3.0,4.0,3.0,0,2,3.5
40.0,,,5,5,4.0,4.0,,0,0,8.5
120.0,,26.0,5,5,3.0,,,0,2,7.54
45.0,,3.0,5,5,4.0,5.0,4.0,0,0,6.0
360.0,,,5,5,1.0,2.0,2.0,1,0,8.9
123.0,11.0,60.0,5,5,3.0,,,2,2,5.7
40.0,4.4,,5,5,4.0,3.0,3.0,0,0,9.9
78.0,6.0,13.0,8,8,5.0,9.0,8.0,1,2,9.45
78.0,6.0,13.0,4,4,5.0,8.0,4.0,2,2,9.29
129.5,,,5,5,2.0,,,2,2,5.1
33.0,4.0,4.0,1,1,5.0,4.0,4.0,0,1,5.0
75.0,5.0,8.0,8,8,2.0,3.0,2.0,0,1,2.25
34.0,5.0,2.0,5,5,5.0,3.0,4.0,0,2,5.95
45.0,3.5,7.0,8,8,4.0,5.0,4.0,2,1,4.5
28.0,3.5,7.0,5,5,,,,0,2,2.68
37.0,,,5,5,3.0,2.0,,0,2,5.5
38.0,,,5,5,5.0,4.0,5.0,2,2,9.1
54.0,,5.0,5,5,4.0,4.0,5.0,0,2,6.2
35.0,3.5,,5,5,5.0,,,0,2,5.1
58.0,,,5,5,4.0,2.0,3.0,0,0,5.6
45.0,4.0,5.0,5,5,2.0,,,0,2,3.5
45.0,6.2,4.0,5,5,5.0,5.0,5.0,0,1,7.68
126.2,5.6,12.0,5,7,1.0,2.0,1.0,2,2,6.9
173.0,5.0,5.0,5,5,,2.0,,0,2,2.4
55.0,,3.5,5,5,4.0,5.0,4.0,0,1,5.5
75.0,5.0,7.0,5,5,5.0,5.0,5.0,0,2,8.8
68.0,4.0,3.0,5,5,2.0,6.0,6.0,0,2,4.95
44.0,3.5,5.0,5,5,3.0,4.0,3.0,0,0,3.8
35.0,,,5,5,5.0,3.0,,0,2,4.7
90.0,,8.0,5,5,1.0,3.0,2.0,0,1,2.13
35.0,,,5,5,4.0,4.0,3.0,0,1,3.3
30.0,,,5,5,5.0,3.0,,0,1,3.88
36.0,,5.0,5,5,5.0,4.0,4.0,0,0,5.65
38.0,,,5,5,6.0,4.0,3.0,0,0,6.25
37.0,,3.0,5,5,5.0,4.0,4.0,0,1,6.5
70.0,,,5,5,5.0,5.0,5.0,0,1,6.01
72.0,,,5,5,2.0,6.0,4.0,0,2,6.75
41.0,,2.8,5,5,5.0,3.0,4.0,0,1,5.7
80.0,5.0,2.0,6,6,5.0,5.0,6.0,0,2,9.5
98.0,6.0,5.0,8,5,2.0,3.0,2.0,2,2,9.6
60.0,4.0,9.0,6,6,3.0,5.0,5.0,0,0,7.6
120.0,,20.0,7,4,2.0,3.0,3.0,1,2,3.5
82.5,,,8,5,2.0,3.0,2.0,0,1,4.8
40.0,4.2,,5,5,5.0,6.0,4.0,0,1,4.7
81.0,4.5,9.0,1,1,5.0,5.0,5.0,2,2,5.8
35.0,4.0,4.0,7,7,3.0,4.0,3.0,0,1,2.4
157.0,10.0,3.0,8,4,4.0,7.0,7.0,0,0,10.0
41.0,,,5,5,4.0,4.0,3.0,0,2,5.15
310.0,9.1,,5,5,,,,2,2,3.8
66.0,4.1,7.0,5,5,4.0,5.0,6.0,0,0,6.8
60.0,4.0,3.0,5,5,3.0,4.0,6.0,0,0,4.8
80.0,5.0,20.0,8,8,5.0,,,2,2,10.0
80.0,8.0,,5,5,4.0,4.0,3.0,0,1,4.8
85.0,5.0,6.0,1,5,3.0,4.0,4.0,0,1,5.99
96.0,8.0,20.0,2,5,3.0,5.0,4.0,0,2,5.5
49.1,3.86,50.0,3,3,2.0,3.0,2.0,0,2,3.5
60.0,,,5,5,,,,0,2,10.0
50.0,,,5,5,5.0,,,0,1,8.7
85.0,,,5,5,3.0,3.0,4.0,0,1,4.0
70.0,7.0,2.5,3,4,4.0,4.0,4.0,0,1,9.8
111.4,,,5,5,4.0,,,2,2,6.9
37.0,4.6,3.5,0,0,6.0,4.0,3.0,0,1,7.5
30.0,3.5,3.0,4,4,5.0,3.0,4.0,0,0,3.2
160.0,6.0,20.0,8,7,2.0,4.0,3.0,1,2,4.55
37.0,3.8,3.0,5,5,6.0,3.0,4.0,0,1,8.0
177.0,17.0,13.0,5,5,2.0,5.0,7.0,0,1,6.8
31.0,5.1,,5,5,3.0,4.0,3.0,0,2,5.6
56.5,,,5,5,3.0,4.0,3.0,0,2,4.7
90.0,,,5,5,3.0,4.0,3.0,0,2,3.0
36.0,4.5,20.0,6,6,4.0,3.0,4.0,0,0,4.0
60.0,4.0,20.0,3,3,5.0,6.0,4.0,0,0,8.6
47.0,3.5,,5,5,4.0,3.0,3.0,2,2,6.45
44.0,4.5,10.0,8,8,4.0,3.0,3.0,0,1,8.5
114.0,,,5,5,4.0,,,1,2,9.2
36.0,,,5,5,5.0,3.0,3.0,0,2,6.05
245.0,,12.0,4,1,1.0,,,0,2,7.6
38.0,,,5,5,5.0,,,0,1,4.5
